Year,Municipal,Treasury,Mortgage Related,Corporate Debt,Federal Agency Securities,Money Markets,Asset-Backed,Total
1985,859.484,1437.7,399.8779,789.096,261.0,358.526,1.3208,4107.0047
1986,920.3829999999999,1619.0,614.6747,976.085,276.6,384.904,11.841000000000001,4803.4877000000015
1987,1011.9749999999999,1724.7,815.9936,1092.07,308.3,437.922,18.5896,5409.550200000001
1988,1079.9619999999998,1821.3,973.6228,1212.518,370.7,513.359,26.182499999999997,5997.6443
1989,1129.798,1945.4,1192.6971,1307.811,397.5,579.222,37.61599999999999,6590.0441
1990,1178.6190000000001,2195.8,1340.1182,1363.512,421.5,609.879,67.20309999999999,7176.6313
1991,1272.0790000000002,2471.6,1577.1182,1463.581,421.5,565.918,92.59049999999999,7864.3867
1992,1295.402,2754.1,1774.3459,1563.295,462.4,579.048,117.2874,8545.878299999998
1993,1361.6979999999999,2989.5,2209.0318,1790.22,550.8,580.0120000000001,133.34730000000002,9614.6091
1994,1325.77,3126.0,2352.9151,1941.701,727.7,623.4630000000001,162.7739,10260.323
1995,1268.1570000000002,3307.2,2432.105,2096.855,924.0,700.379,215.70720000000003,10944.4032
1996,1268.3210000000001,3444.7000000000003,2606.4283,2268.019,925.8,802.977,298.18450000000007,11614.4298
1997,1297.968,3441.7,2871.7711,2478.115,1021.8,979.423,394.85209999999995,12485.6292
1998,1375.9540000000002,3340.4999999999995,3243.3778,2822.3,1302.1,1172.56,478.0265,13734.818299999999
1999,1533.2730000000001,3265.983,3832.2017,3176.06,1620.0,1402.444,583.4654,15413.4271
2000,1488.992,2951.8860000000004,4119.3099,3461.287,1853.7,1613.9940000000001,701.8751000000001,16191.044000000002
2001,1620.1320000000003,2967.9999999999995,4710.9613,3877.097,2157.4,1473.9930000000002,812.0146,17619.597899999997
2002,1719.1530000000002,3205.261,5289.3948,4075.485,2377.7,1374.897,904.8154999999999,18946.7063
2003,1840.463,3575.1820000000002,5714.4932,4370.07,2626.2,1292.9379999999999,995.3277,20414.6739
2004,2793.554,3945.781,6301.689899999999,4595.636,2700.6,1399.1280000000002,1100.2442999999998,22836.6332
2005,3027.152,4169.959,7218.0771,4664.633,2616.0,1644.201,1281.3953000000001,24621.417400000002
2006,3211.9919999999997,4327.959000000001,8389.9308,4904.724,2633.955,1958.3960000000002,1656.8584,27083.8152
2007,3683.0220000000004,4522.586,9385.974300000002,5337.679,2906.246,1788.893,1963.522,29587.922300000002
2008,4046.464,5783.643,9467.3658,5513.964,3210.577,1599.799,1829.5495,31451.3623
2009,3982.1589999999997,7260.5740000000005,9352.4731,6101.725,2727.498,1138.001,1712.1206,32274.5507
2010,4123.103,8853.023,9258.369499999999,6734.04,2538.781,1057.586,1507.8316,34072.734099999994
2011,3840.4410000000003,9928.439999999999,9075.484499999999,6850.094,2326.928410637,969.303,1358.9875000000002,34349.678410637
2012,3737.062,11046.091,8838.0693,7258.732,2095.811248,952.425,1280.3415,35208.53204800001
2013,3879.3560000000007,11854.435,8742.5897,7684.061,2056.856853224,951.632,1285.7299,36454.660453224
2014,3592.121,12504.782,8841.996778214641,8048.388,2028.749936144,930.387,1349.3802,37295.80491435864
2015,3607.049,13191.554999999998,8894.813340695579,8295.706,1995.3962486349997,941.492,1376.5868,38302.598389330575
2016,3721.972,13908.241,9023.359128720671,8701.272,1971.6921650040001,884.87,1391.7603,39603.16659372467
2017,3657.569,14468.780999999999,9304.524737348002,9015.061,1934.670761358,965.9,1457.9101,40804.416598706004
2018,3675.122,15607.967,9732.329779264977,9216.157,1841.577463,995.971,1615.6285,42684.75274226497
