Year,MBS Fannie Mae,MBS Freddie Mac,MBS Ginnie Mae,MBS Total,CMO Fannie Mae,CMO Freddie Mac,CMO Ginnie Mae,CMO Total,Total
1970,,,452.4,452.4,,,,,452.4
1971,,65.0,2701.9,2766.9,,,,,2766.9
1972,,494.0,2661.7,3155.7,,,,,3155.7
1973,,323.0,3277.0,3600.0,,,,,3600.0
1974,,46.0,5754.0,5800.0,,,,,5800.0
1975,,950.0,9350.0,10300.0,,,,,10300.0
1976,,1360.0,14340.0,15700.0,,,,,15700.0
1977,,4657.0,15843.0,20500.0,,,,,20500.0
1978,,6412.0,11888.0,18300.0,,,,,18300.0
1979,,4546.0,23554.0,28100.0,,,,,28100.0
1980,,2526.0,20600.0,23126.0,,,,,23126.0
1981,717.389,3526.0,14300.0,18543.389,,,,,18543.389
1982,13403.285,24169.0,16000.0,53572.285,,,,,53572.285
1983,13107.201,19691.0,50700.0,83498.201,,1685.0,,1685.0,85183.201
1984,12700.184,18684.0,28097.0,59481.184,,1805.0,,1805.0,61286.184
1985,23125.834,38828.0,45980.0,107933.834,,2625.0,,2625.0,110558.834
1986,61721.871,100198.0,101433.0,263352.871,2392.0,2233.0,,4625.0,267977.871
1987,70299.766,75018.0,94890.0,240207.766,9696.223798,0.0,,9696.223798,249903.9898
1988,63279.39,39777.0,55181.0,158237.39,16752.313983,12985.0,,29737.31398,187974.704
1989,83397.5,73518.0,57074.0,213989.5,40958.285341,39754.0,,80712.28534,294701.7853
1990,112791.827,73815.0,64395.0,251001.827,66783.963484,40479.0,,107262.9635,358264.7905
1991,111538.552,92479.0,62630.0,266647.552,112687.712998999,72032.0,,184719.713,451367.265
1992,193666.855,179207.0,81917.0,454790.855,164749.953294549,131284.0,,296033.9533,750824.8083
1993,220594.626,208724.0,137989.0,567307.626,245486.761287,143336.0,,388822.7613,956130.3873
1994,128629.095,117110.0,111191.0,356930.095,80861.728964,73131.0,3110.770416,157103.4994,514033.5944
1995,103106.828,85877.0,72895.0,261878.828,8919.68523199999,15372.0,2225.788,26517.47323,288396.3012
1996,147332.895,119702.0,100900.0,367934.895,33981.1571956999,34145.0,8017.59411499999,76143.75131,444078.6463
1997,145806.583,114258.0,104300.0,364364.583,86965.5352419999,84366.0,8804.640849,180136.1761,544500.7591
1998,321235.564,250564.0,150200.0,721999.564,83001.111193,135162.0,14760.57625,232923.6874,954923.2514
1999,294740.032,233031.0,151500.0,679271.032,58285.952239,119565.0,30020.632113,207871.5844,887142.6164
2000,204188.716,166901.0,103300.0,474389.716,42154.126775,48202.0,18568.0379009999,108924.1647,583313.8807
2001,521971.401,389611.0,174600.0,1086182.401,155404.610622,192437.0,46329.6381339999,394171.2488,1480353.65
2002,725741.887,547046.0,174000.0,1446787.887,199658.064106999,331672.0,66203.752657,597533.8168,2044321.704
2003,1199549.112,713280.0,217900.0,2130729.112,255428.227903,298118.0,72938.738989,626484.9669,2757214.079
2004,524885.343,365148.0,125000.0,1015033.343,111740.015479,215506.0,50748.2805329999,377994.296,1393027.639
2005,498548.912,397867.0,86900.0,983315.912,125783.097637,208450.0,30173.131823,364406.2295,1347722.141
2006,479772.983,360023.0,83300.0,923095.983,123856.544394449,169396.0,22746.142553,315998.6869,1239094.67
2007,620998.394,470976.0,97010.0,1188984.394,106533.063867,133321.0,36718.485426,276572.5493,1465556.943
2008,541902.332,357861.0,269980.0,1169743.332,95006.284474,64305.0,37749.92349,197061.208,1366804.54
2009,804784.221,475412.0,454030.0,1734226.221,100846.0,86202.0,101671.997215,288719.9972,2022946.218
2010,627101.325,393037.0,399750.0,1419888.325,175322.082925,124100.0,200583.710942999,500005.7939,1919894.119
2011,610495.0,301173.746999999,328459.0,1240127.747,136821.394795,156200.0,83706.379531,376727.7743,1616855.521
2012,865507.0,466479.0,424899.0,1756885.0,127700.0,107900.0,49500.0,285100.0,2041985.0
