Year,Fannie Mae,Freddie Mac,Ginnie Mae,Total
1970,0.0,0.0,494.0,494.0
1971,0.0,64.0,8986.0,9050.0
1972,0.0,1111.0,19088.0,20199.0
1973,0.0,2937.0,27991.0,30928.0
1974,0.0,3029.0,42531.0,45560.0
1975,0.0,5215.0,63629.0,68844.0
1976,0.0,9329.0,101410.0,110739.0
1977,0.0,19972.0,156818.0,176790.0
1978,0.0,39297.0,199580.0,238877.0
1979,0.0,55776.0,266775.0,322551.0
1980,0.0,65087.0,348440.0,413527.0
1981,717.0,72421.0,407281.0,480419.0
1982,29925.0,130769.0,453767.0,614461.0
1983,87930.0,210989.0,578662.0,877581.0
1984,126713.0,255429.0,692904.0,1075046.0
1985,185881.0,352388.0,791050.0,1329319.0
1986,318220.0,554483.0,953479.0,1826182.0
1987,499443.0,806085.0,1200256.0,2505784.0
1988,648100.0,875969.0,1315023.0,2839092.0
1989,821698.0,1010745.0,1428715.0,3261158.0
1990,1091360.0,1195233.0,1560880.0,3847473.0
1991,1367091.0,1377354.0,1671432.0,4415877.0
1992,1677893.0,1549951.0,1686402.0,4914246.0
1993,1899941.0,1724531.0,1663822.0,5288294.0
1994,2075986.0,1927556.0,1755064.0,5758606.0
1995,2219475.0,2008831.0,1847446.0,6075752.0
1996,2507972.0,2160866.0,1964315.0,6633153.0
1997,2738000.0,2279386.0,2101123.0,7118509.0
1998,3125168.0,2475120.0,2149837.0,7750125.0
1999,3692617.0,2892926.0,2247778.0,8833321.0
2000,4050208.0,3138948.0,2394081.0,9583237.0
2001,4781509.0,3583265.0,2394096.0,10758870.0
2002,5757230.0,4205977.0,2276222.0,12239429.0
2003,6895340.0,4393594.0,1950205.0,13239139.0
2004,6940791.0,4716456.0,1816621.0,13473868.0
2005,7212100.0,4998737.0,1668692.0,13879529.0
2006,7693039.0,5598330.0,1628104.0,14919473.0
2007,8593950.0,6439431.0,1700693.0,16734074.0
2008,9839781.0,7173555.0,2185071.0,19198407.0
2009,10435304.0,7307480.0,3126013.0,20868797.0
2010,10698736.0,7088592.0,4065708.0,21853036.0
2011,10639269.0,6747147.0,4784798.0,22171214.0
2012,10751143.0,6435046.0,5290603.0,22476792.0
2013,10999268.0,6435966.0,5744079.0,23179313.0
