Year,CMBS,RMBS,Total,CMBS Conduit/Fusion,CMBS Single Asset/Single Borrower,CMBS Other,RMBS Jumbo Prime,RMBS Nonprime/Subprime,RMBS Resecuritization,RMBS Risk Transfer,RMBS Scratch & Dent,RMBS Single Family Rental,RMBS Other
1996,23.41827400000001,84.92843500000015,108.34670900000016,10.082415999999998,1.7826999999999995,11.553158000000012,0.7740400000000002,33.00389899999998,1.059224,,2.165018,,47.92625400000017
1997,41.08447600000001,138.0014010000002,179.0858770000002,22.20586700000001,1.3461980000000002,17.532411,1.6954470000000001,53.003624000000045,4.2099779999999996,,3.2249239999999997,,75.86742800000013
1998,75.88119799999997,231.61954299999948,307.50074099999944,51.54417800000004,1.0050000000000001,23.33201999999993,8.192901000000008,82.40574499999992,1.6207239999999996,,5.008812999999998,,134.39135999999957
1999,56.68061099999992,181.7482640000001,238.428875,37.14746499999999,2.9434329999999997,16.589712999999932,24.67140499999996,71.8345400000001,1.8596850000000003,,3.684007,,79.69862700000003
2000,47.074009999999994,148.43730299999947,195.51131299999946,28.337662000000012,3.796721,14.93962699999998,30.708825999999995,65.65109899999979,3.0858400000000006,,3.447659999999999,,45.543877999999694
2001,67.42772500000008,272.0342969999985,339.46202199999857,37.81043900000002,12.205303000000008,17.411983000000056,105.09643100000025,112.14893800000029,3.808113999999999,,4.0437720000000015,,46.93704199999797
2002,54.42657700000011,420.99464700000186,475.421224000002,36.758111999999976,3.279665999999999,14.388799000000134,150.94030600000053,181.43203399999925,16.025464999999993,,4.260815000000002,,68.3360270000021
2003,83.50526900000018,664.5796876999991,748.0849566999993,54.65433800000011,6.0099059999999955,22.84102500000008,213.1649980000009,293.3741339999981,12.325225999999997,,13.857304,,131.8580257000001
2004,100.97378700000002,917.8228001999971,1018.7965871999971,76.61191199999988,6.227995000000003,18.133880000000133,143.06787400000036,600.7758339999972,30.430892000000046,,16.372127999999986,,127.17607219999945
2005,175.81675999999976,1259.0979470000054,1434.9147070000051,137.82195100000007,10.696403,27.298405999999687,155.51283200000003,888.7961640000016,41.18419000000004,,20.226114999999997,,153.37864600000398
2006,213.7867989999995,1278.0108197000027,1491.7976187000022,165.14517099999938,7.709876000000003,40.9317520000001,144.16742800000034,933.5923439999931,45.073471999999974,,17.868356000000016,,137.30921970000918
2007,240.88989499999985,788.2174819999885,1029.1073769999884,193.6548190000001,2.953986,44.28108999999978,140.43442600000031,510.7394129999995,38.139831000000086,,13.950430000000004,,84.95338199998866
2008,17.31950300000001,52.71268799999995,70.03219099999995,10.707465000000004,2.0501139999999998,4.561924000000008,6.612916000000002,22.41634199999999,13.158361000000006,,0.6677660000000001,,9.857302999999952
2009,11.043413000000001,72.45434399999996,83.49775699999996,0.5,0.8741000000000001,9.669313,,0.5602190000000001,64.084313,,0.278012,,7.531799999999961
2010,24.619021,66.63884999999989,91.2578709999999,6.525153000000003,5.504150999999999,12.589716999999997,0.237838,1.1600590000000002,45.16076999999998,,1.573806,,18.506376999999915
2011,34.490368,37.146532000000036,71.63690000000003,26.677060000000004,2.104602,5.708705999999992,0.6706639999999998,0.45287700000000003,15.850522999999995,,2.4493519999999998,,17.72311600000004
2012,48.03068899999999,27.922267000000016,75.952956,32.90203100000003,8.743051999999999,6.38560599999996,3.4691960000000006,,16.498415000000005,,2.600268999999998,,5.354387000000013
2013,87.99412099999996,50.197845000000015,138.19196599999998,57.659699000000025,24.484645000000004,5.849776999999932,13.162934000000007,,15.507662000000007,1.805,10.698017999999998,0.4791369999999999,8.545093999999999
2014,100.57259600000008,73.90740500000015,174.48000100000024,60.082668999999996,23.322964999999993,17.166962000000083,8.697118999999997,0.13678,16.322297000000006,10.812455999999997,26.539508999999995,6.737145999999999,4.662098000000157
2015,101.81680649999998,97.4490112,199.26581769999999,62.45705150000001,24.34852800000001,15.011226999999963,12.538842999999995,0.44048099999999996,17.049367199999992,14.904038000000003,41.63426500000005,6.931405999999998,3.9506109999999666
2016,78.43175900000003,85.52004299999999,163.95180200000001,47.91440400000003,21.12142399999999,9.395931000000004,9.927268999999994,1.2103409999999994,10.248607999999999,14.204567999999997,27.564205000000015,5.063547000000002,17.301504999999977
2017,98.00018100000008,125.92626300000006,223.92644400000015,48.697452,36.85100299999998,12.451726000000107,12.416702000000004,5.796461999999998,9.846154999999994,15.625742999999996,53.570669000000045,5.101952999999999,23.568579000000042
2018,88.711928,181.35820199999998,270.07013000000006,39.478523,38.75575499999999,10.477650000000008,39.507026999999994,12.511902000000001,5.67658,33.038298,74.70996199999999,7.343122999999999,8.571310000000018
