Year,CMBS,RMBS,Total,CMBS Conduit/Fusion,CMBS Single Asset/Single Buyer,CMBS Other,RMBS Jumbo Prime,RMBS Nonprime/Subprime,RMBS Resecuritization,RMBS Risk Transfer,RMBS Scratch & Dent,RMBS Single Family Rental,RMBS Other
1980,0.0,0.6688,0.6688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688
1981,0.0,0.6688,0.6688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6688
1982,0.0,0.7192,0.7192,0.0,0.0,0.0,0.0,0.0,0.0505,0.0,0.0,0.0,0.6687
1983,0.0,3.73,3.73,0.0,0.0,0.0,0.0,0.0,3.0613,0.0,0.0,0.0,0.6686999999999999
1984,0.0,12.7114,12.7114,0.0,0.0,0.0,0.0,0.0,10.7909,0.0,0.0,0.0,1.9204999999999988
1985,0.0,28.4413,28.4413,0.0,0.0,0.0,0.0,0.0,24.8125,0.0,0.0,0.0,3.6287999999999982
1986,0.0,78.219,78.219,0.0,0.0,0.0,0.0,0.0,70.199,0.0,0.0,0.0,8.019999999999996
1987,0.2415,131.6664,131.9079,0.0,0.0,0.2415,0.0471,0.0,111.7808,0.0,0.0,0.0,19.83850000000001
1988,0.7831,185.9246,186.7077,0.1466,0.0,0.6365000000000001,1.4927,0.0,147.6006,0.0,0.6943,0.0,36.137
1989,1.5156,204.9731,206.4887,0.1414,0.0,1.3742,2.206,0.2339,146.1961,0.0,1.224,0.0,55.1131
1990,1.6553,231.4713,233.12660000000002,0.1309,0.1743,1.3500999999999999,2.11,2.9985,146.8333,0.0,2.1187,0.0,77.41080000000002
1991,4.6726,272.8601,277.5327,0.3775,0.1743,4.1208,5.6108,8.3787,141.456,0.0,3.0432,0.0,114.3714
1992,14.8068,281.1346,295.9414,0.8171,0.1743,13.8154,5.1212,8.6477,104.9044,0.0,4.0496,0.0,158.4117
1993,22.3306,270.8385,293.1691,1.5513,0.7305,20.0488,6.3837,11.3944,67.4952,0.0,5.1559,0.0,180.40930000000003
1994,31.0829,280.0634,311.1463,2.2446,1.331,27.507299999999997,7.2505,16.5814,45.7819,0.0,6.0663,0.0,204.38330000000002
1995,39.9312,288.4896,328.4208,5.2272,1.9631,32.740899999999996,6.9937,24.2063,38.3776,0.0,7.3044,0.0,211.6076
1996,56.5267,315.5936,372.1203,14.9528,3.7088,37.8651,6.7135,48.4309,28.8333,0.0,8.8676,0.0,222.74829999999997
1997,87.5815,385.1729,472.75440000000003,36.4018,4.619,46.560700000000004,7.2132,83.8206,26.6349,0.0,11.2059,0.0,256.29830000000004
1998,150.6217,479.7234,630.3451,86.3224,5.1365,59.162800000000004,12.5914,131.8609,19.7103,0.0,13.793,0.0,301.7678000000001
1999,192.4292,693.3382,885.7674000000001,121.1065,7.5176,63.80510000000001,33.9416,331.9606,13.8241,0.0,14.9619,0.0,298.65000000000003
2000,222.9132,744.1256,967.0387999999999,146.1287,10.7417,66.04279999999997,59.8295,355.3584,13.468,0.0,16.115,0.0,299.3546999999999
2001,268.7101,819.4383,1088.1484,178.8627,21.6821,68.16530000000003,130.1197,399.6374,12.4369,0.0,16.8164,0.0,260.4278999999999
2002,296.9171,911.538,1208.4551000000001,208.5345,23.3102,65.07239999999999,184.9045,474.9352,18.7818,0.0,16.816,0.0,216.1005
2003,351.3881,1014.3128,1365.7009,253.547,26.3769,71.4642,233.8285,544.3037,17.4181,0.0,22.6951,0.0,196.06740000000002
2004,416.076,1480.4148,1896.4908,316.5271,29.3284,70.22050000000002,287.4545,894.2686,32.8903,0.0,29.4451,0.0,236.35630000000015
2005,540.7471,2015.3874,2556.1345,435.8654,33.4849,71.39680000000004,358.3677,1276.1989,49.3472,0.0,36.9801,0.0,294.49350000000004
2006,698.4047,2600.2946,3298.6993,579.8674,34.5947,83.94260000000008,439.742,1722.6568,58.1113,0.0,42.2082,0.0,337.5763000000002
2007,870.7818,2714.1869,3584.9687000000004,741.8313,29.2151,99.73539999999991,509.7823,1781.3088,63.7091,0.0,45.5199,0.0,313.86680000000024
2008,830.8058,2357.2267,3188.0325000000003,707.9899,29.7018,93.1140999999999,454.6492,1519.7887,66.4827,0.0,39.0102,0.0,277.2959000000001
2009,793.1576,1922.8919,2716.0495,671.3803,26.0195,95.75779999999997,364.7958,1257.5473,69.6312,0.0,33.4605,0.0,197.45710000000008
2010,746.9718,1676.6787,2423.6504999999997,628.094,27.5617,91.3161,289.6938,1083.6979,95.5716,0.0,30.427,0.0,177.28840000000014
2011,690.2875,1437.4593,2127.7468,586.4819,24.1671,79.63850000000002,228.3898,937.7548,92.4516,0.0,28.9982,0.0,149.8648999999998
2012,638.3751,1239.2908,1877.6659,542.8279,29.4906,66.0566,183.4347,802.7602,99.6366,0.0,26.6335,0.0,126.82580000000007
2013,627.0559,1075.9188,1702.9746999999998,524.7304,48.3756,53.94989999999996,151.9068,685.9399,92.2412,1.7777,30.4914,0.4791,113.08269999999993
2014,628.901,994.291,1623.192,507.5801,65.4314,55.889499999999884,133.1713,610.2423,93.418,12.1967,42.97,7.202,95.09070000000008
2015,603.1912,924.6725,1527.8636999999999,457.7121,85.4312,60.04789999999991,116.9432,530.2448,91.6803,24.8992,65.9028,14.0612,80.94100000000003
2016,531.4873,853.3505,1384.8378,382.2666,92.2064,57.01430000000005,100.8289,460.271,88.4357,33.9863,70.3892,17.4843,81.95510000000002
2017,508.6708,790.7689,1299.4397,342.8676,112.6406,53.1626,91.6051,398.5787,75.4824,43.9307,79.1221,17.5872,84.46269999999993
2018,543.0079,817.2158,1360.2237,354.4305,136.7292,51.84819999999996,109.4106,353.6501,64.7879,70.6137,118.8521,17.9965,81.9049
